date,cases,new_cases,cases_avg7,cases_avg7_pc,cases_avg14,cases_avg14_pc,deaths,new_deaths,deaths_avg7,deaths_avg7_pc,deaths_avg14,deaths_avg14_pc,tot_pop
2020-07-12,3307105,57492,57948.42857142857,0.17574749878499252,53584.71428571428,0.16251311279674585,134796,395,717.7142857142857,0.0021767025209504074,717.7142857142857,0.0021767025209504074,329725481
2020-07-13,3368305,61200,60029.857142857145,0.18206010940008954,55140.07142857143,0.16723024032398462,135221,425,722.5714285714286,0.0021914333899218075,722.5714285714286,0.0021914333899218075,329725481
2020-07-14,3433765,65460,61674.57142857143,0.18704824159031685,56375.5,0.17097708017294547,136173,952,722,0.0021897003465134075,722,0.0021897003465134075,329725481
2020-07-15,3501844,68079,62914.71428571428,0.19080937904739698,57674.78571428572,0.17491758762279497,137142,969,725.2857142857143,0.002199665346111708,725.2857142857143,0.002199665346111708,329725481
2020-07-16,3577320,75476,65159.71428571428,0.1976180733381485,59103.57142857143,0.17925084603507313,138099,957,741.8571428571429,0.0022499236049553077,741.8571428571429,0.0022499236049553077,329725481
2020-07-17,3647677,70357,65505.42857142857,0.1986665646002305,60053.42857142857,0.18213159744068605,138995,896,751.5714285714286,0.002279385342898108,751.5714285714286,0.002279385342898108,329725481
2020-07-18,3709780,62103,65738.14285714286,0.19937234652830138,60925.142857142855,0.18477535516020024,139769,774,766.8571428571429,0.002325744254072808,766.8571428571429,0.002325744254072808,329725481
2020-07-19,3771445,61665,66334.28571428571,0.20118034406411467,62141.357142857145,0.18846392142455362,140181,412,769.2857142857143,0.0023331096885585083,769.2857142857143,0.0023331096885585083,329725481
2020-07-20,3830920,59475,66087.85714285714,0.20043296909424219,63058.857142857145,0.19124653924716586,140710,529,784.1428571428571,0.002378168817176908,784.1428571428571,0.002378168817176908,329725481
2020-07-21,3895709,64789,65992,0.2001422510624831,63833.28571428572,0.19359524632639996,141837,1127,809.1428571428571,0.0024539894662944086,809.1428571428571,0.0024539894662944086,329725481
2020-07-22,3965319,69610,66210.71428571429,0.20080557342704822,64562.71428571428,0.19580747623722258,142967,1130,832.1428571428571,0.0025237444634825085,832.1428571428571,0.0025237444634825085,329725481
