date,measure,value
2020-07-05,cases,2901466
2020-07-05,cases_avg7_pc,0.1492787268084992
2020-07-05,deaths,129772
2020-07-05,deaths_avg7_pc,0.0017867677540604
2020-07-06,cases,2948096
2020-07-06,cases_avg7_pc,0.15240037124787972
2020-07-06,deaths,130163
2020-07-06,deaths_avg7_pc,0.0018058312315528
2020-07-07,cases,3002043
2020-07-07,cases_avg7_pc,0.15490591875557402
2020-07-07,deaths,131119
2020-07-07,deaths_avg7_pc,0.0016567894984304
2020-07-08,cases,3061441
2020-07-08,cases_avg7_pc,0.15902579619819296
2020-07-08,deaths,132065
2020-07-08,deaths_avg7_pc,0.0017885007974688
2020-07-09,cases,3121202
2020-07-09,cases_avg7_pc,0.16088361873199775
2020-07-09,deaths,132906
2020-07-09,deaths_avg7_pc,0.0018396255780166
2020-07-10,cases,3189139
2020-07-10,cases_avg7_pc,0.16559663028114158
2020-07-10,deaths,133734
2020-07-10,deaths_avg7_pc,0.0019427416608164
2020-07-11,cases,3249613
2020-07-11,cases_avg7_pc,0.17017836379209908
2020-07-11,deaths,134401
2020-07-11,deaths_avg7_pc,0.0021190788276211
2020-07-12,cases,3307105
2020-07-12,cases_avg7_pc,0.17574749878499252
2020-07-12,deaths,134796
2020-07-12,deaths_avg7_pc,0.0021767025209504
2020-07-13,cases,3368305
2020-07-13,cases_avg7_pc,0.18206010940008951
2020-07-13,deaths,135221
2020-07-13,deaths_avg7_pc,0.0021914333899218
2020-07-14,cases,3433765
2020-07-14,cases_avg7_pc,0.18704824159031683
2020-07-14,deaths,136173
2020-07-14,deaths_avg7_pc,0.0021897003465134
2020-07-15,cases,3501844
